"Tarih","Bucket","Namespace","Replication Group","Owner","Objects","Size (GiB)","Virtual (GiB)"
"2026-05-20","CM-PROD","centera_...95314f20","qfb-rg1","cm_prod_ecs","622170540","82788.7065","82788.7065"
"2026-05-20","CM-TEST","centera_...95314f20","qfb-rg1","cm_test_prof","42102577","2282.797","2282.797"
"2026-05-20","ECS-TEST","centera_...95314f20","qfb-rg1","ecs-test-new","3514593","193.1618","193.1618"
"2026-05-20","ECS-TEST2","centera_...95314f20","qfb-rg1","ecs_test2","28863773","1439.3872","1439.3872"
"2026-05-20","ECS-TEST3","centera_...95314f20","qfb-rg1","ecs_test3","32337209","1608.3711","1608.3711"
"2026-05-20","jcas","jcas","qfb-rg1","jcas","3769509","189.4309","189.4309"
"2026-05-20","s3-dev-smgai-llm","s3-dev-smg","qfb-rg1","s3-dev-smg","62180","627.4044","627.4044"
"2026-05-20","s3-drc-bucket","s3-drc-namespace","qfb-rg1","s3-drc-user","9","0","0"
"2026-05-20","s3-pxdrc2uom-bucket","s3-drc-opensol","qfb-rg1","s3-pxdrc-user","39","0.0465","0.0465"
"2026-05-20","s3-bucket-prd-dkfiles","s3-ns-prd-frontend","qfb-rg1","s3-user...dkfiles","377","0.0667","0.0667"
"2026-05-20","s3-bucket-prd-pisano","s3-ns-prd-pisano","qfb-rg1","s3-user-prd-pisano","0","0","0"
"2026-05-20","s3-bucket-pre-dkfiles","s3-ns-pre-frontend","qfb-rg1","s3-user...dkfiles","0","0","0"
"2026-05-20","s3-bucket-tst-kep","s3-ns-tst-backend","qfb-rg1","s3-user-tst-kep","3866","1.2213","1.2213"
"2026-05-20","s3-bucket-tst-dkfiles","s3-ns-tst-frontend","qfb-rg1","s3-user...dkfiles","929","0.205","0.205"
"2026-05-20","s3-bucket-tst-pisano","s3-ns-tst-pisano","qfb-rg1","s3-user-tst-pisano","0","0","0"
"2026-05-20","s3-ml-bucket","s3-prod-generic","qfb-rg1","s3-ml-user","654622","203.1744","203.1744"
"2026-05-20","ecmdrcprd-s3-bucket","s3-prod-namespace","qfb-rg1","ecmdrcprd-s3-user","27","0","0"
"2026-05-20","s3-email-bucket","s3-prod-namespace","qfb-rg1","s3-prod-user","2512643712","165979.946","165979.946"
"2026-05-20","s3-prod-bucket","s3-prod-namespace","qfb-rg1","s3-prod-user","3538544368","850253.1905","850253.1905"
"2026-05-20","s3-prod-migration-bucket","s3-prod-namespace","qfb-rg1","s3-prod-user","1312635226","217642.3583","217642.3583"
"2026-05-20","s3-advcluster-bucket","s3-prod-opensol","qfb-rg1","s3-openshift-user","16162","542.3117","542.3117"
"2026-05-20","s3-lagomamlds-bucket","s3-prod-opensol","qfb-rg1","s3-open-user","753133","26.0199","26.0199"
"2026-05-20","s3-ocpoadp-bucket","s3-prod-opensol","qfb-rg1","s3-openshift-user","73","8.8054","8.8054"
"2026-05-20","s3-pxuom2drc-bucket","s3-prod-opensol","qfb-rg1","s3-pxuom-user","6","0.0005","0.0005"
"2026-05-20","s3-starburst-bucket","s3-prod-opensol","qfb-rg1","s3-starburst-user","4926","1013.9895","1013.9895"
"2026-05-20","s3-prod-smgai-llm","s3-prod-smg","qfb-rg1","s3-prod-smg","8787","123.5857","123.5857"
"2026-05-20","s3-enpara-bucket","s3-test-enpara","qfb-rg1","s3-test...ra-user","5451","0.5328","0.5328"
"2026-05-20","bucket-s3-test-migration","s3-test-namespace","qfb-rg1","s3-test-user","0","0","0"
"2026-05-20","s3-test-bucket","s3-test-namespace","qfb-rg1","s3-test-user","15852073","4054.6609","4054.6609"
"2026-05-20","s3-test-bucket-SMG","s3-test-namespace","qfb-rg1","s3-test-user","1760","0.1698","0.1698"
"2026-05-20","s3-test-migration-bucket","s3-test-namespace","qfb-rg1","s3-test...on-user","17719121","2849.359","2849.359"
"2026-05-20","s3-test-retention","s3-test-namespace","qfb-rg1","s3-test-user","15370193","660.1133","660.1133"
"2026-05-20","s3-bucket-tst-kubeflow","s3-test-opensol","qfb-rg1","s3-user...ubeflow","0","0","0"
"2026-05-20","s3-qnbwise-bucket","s3-test-opensol","qfb-rg1","s3-test-open-user","132959","21.2777","21.2777"
"2026-05-20","s3-qnbwise-bucket-pp","s3-test-opensol","qfb-rg1","s3-test-open-user","1308","0.0325","0.0325"
"2026-05-20","s3-qnbwise-bucket-v2","s3-test-opensol","qfb-rg1","s3-test-open-user","106703","7.3122","7.3122"
"2026-05-20","test-bucket","test-namespace","qfb-rg1","test-app","41957454","2210.0592","2210.0592"