"Lokasyon","Kabinet","Yerel Bucket","Uzak Bucket","Hedef","Yon","Durum","Gecikme (Lag)"
"Istanbul","FB_UOM","Name","Direction","","outbound","Remote","Remote Bucket"
"Istanbul","FB_UOM","replica","-->","","outbound","PURE-FB-ANK","replica"
"Istanbul","FB_UOM","ocp-wiseaimodels-dev-bucket","-->","","outbound","PURE-FB-ANK","ocp-wiseaimodels-dev-bucket"
"Istanbul","FB_UOM","ocp-bigdata-bucket","-->","","outbound","PURE-FB-ANK","ocp-bigdata-bucket"
"Istanbul","FB_UOM","ocp-mtc-bucket","-->","","outbound","PURE-FB-ANK","ocp-mtc-bucket"
"Istanbul","FB_UOM","ocp-hzn-prd-bucket","-->","","outbound","PURE-FB-ANK","ocp-hzn-prd-bucket"
"Istanbul","FB_UOM","backend-pisano-bucket","-->","","outbound","PURE-FB-ANK","backend-pisano-bucket"
"Ankara","FB_ANK","Name","Direction","","outbound","Remote","Remote Bucket"
"Ankara","FB_ANK","replica","-->","","outbound","PURE-FB-UOM","replica"
"Ankara","FB_ANK","ocp-bigdata-bucket","-->","","outbound","PURE-FB-UOM","ocp-bigdata-bucket"