"Tarih","Lokasyon","Fabric","SwitchName","IP","Status","Model","Firmware","TotalPorts","OnlinePorts","FreePorts","HostPorts","StoragePorts","ISLPorts","Speed8G","Speed16G","Speed32G","Speed64G","ErrorPorts","Uptime","ActiveCfg"
"2026-05-20","Istanbul","A","AI18FC187","10.81.165.187","OK","Brocade X7-8","9.2.2a","384","300","84","264","36","0","0","77","168","55","41","165 days 8:36","SANDR1_CFG"
"2026-05-20","Istanbul","B","AI25FC190","10.81.165.190","OK","Brocade X7-8","9.2.2a","384","298","86","261","37","0","0","75","168","55","43","158 days 8:12","SANDR2_CFG"
"2026-05-20","Istanbul","A","EO17FC184","10.81.165.184","OK","Brocade X7-8","9.2.2a","384","324","60","295","29","0","0","60","177","87","37","158 days 8:27","SANDR2_CFG"
"2026-05-20","Istanbul","B","EO24FC193","10.81.165.193","OK","Brocade X7-8","9.2.2a","384","327","57","298","29","0","0","61","179","87","15","165 days 8:13","SANDR1_CFG"
"2026-05-20","Istanbul","A","CN39FC196","10.81.165.196","OK","Brocade X7-8","9.2.2a","384","280","104","153","127","0","0","84","145","51","40","158 days 8:08","SANDR2_CFG"
"2026-05-20","Istanbul","B","CO39FC206","10.81.165.206","OK","Brocade X7-8","9.2.2a","384","260","124","133","127","0","0","87","121","52","42","110 days 1:54","SANDR2_CFG"
"2026-05-20","Istanbul","A","CO39FC37","10.81.165.37","OK","Brocade X7-8","9.2.2a","384","279","105","152","127","0","0","84","143","52","41","165 days 8:22","SANDR1_CFG"
"2026-05-20","Istanbul","B","CN39FC209","10.81.165.209","OK","Brocade X7-8","9.2.2a","384","259","125","132","127","0","0","85","122","52","43","158 days 8:31","SANDR1_CFG"
"2026-05-20","Ankara","A","DR707FC215","10.25.167.215","OK","Brocade X7-8","9.2.2c","384","184","200","159","25","0","1","22","157","4","73","33 days 16:16","SANDRC2_CFG"
"2026-05-20","Ankara","B","DR712FC218","10.25.167.218","OK","Brocade X7-8","9.2.2c","384","185","199","160","25","0","1","23","157","4","27","27 days 16:21","DRC_CONFIG"
"2026-05-20","Ankara","A","DR406FC221","10.25.167.221","OK","Brocade X7-8","9.2.2c","384","248","136","159","89","0","0","3","197","48","91","33 days 15:40","SANDRC2_CFG"
"2026-05-20","Ankara","B","DR412FC224","10.25.167.224","OK","Brocade X7-8","9.2.2c","384","248","136","159","89","0","0","3","197","48","90","27 days 15:51","DRC_CONFIG"
"2026-05-20","Ankara","A","DR815FC188","10.25.167.188","OK","Brocade X7-8","9.2.2c","384","61","323","61","0","0","0","0","16","45","0","27 days 17:16","DRC_CONFIG"
"2026-05-20","Ankara","B","DR810FC191","10.25.167.191","OK","Brocade X7-8","9.2.2c","384","85","299","85","0","0","0","0","24","61","28","33 days 17:12","SANDRC2_CFG"
"2026-05-20","Ankara","A","DR712FC194","10.25.167.194","OK","Brocade X7-8","9.2.2c","384","79","305","79","0","0","0","0","24","55","0","27 days 16:55","DRC_CONFIG"
"2026-05-20","Ankara","B","DR707FC197","10.25.167.197","OK","Brocade X7-8","9.2.2c","384","56","328","56","0","0","0","0","16","40","14","33 days 16:50","SANDRC2_CFG"
"2026-05-20","Kos","A","DL21KOS126","10.81.167.126","OK","Brocade X7-4","9.2.0c","144","94","50","62","32","0","2","10","82","0","35","501 days 8:35","K199_CFG"
"2026-05-20","Kos","B","DM21KOS129","10.81.167.129","OK","Brocade X7-4","9.2.0c","144","93","51","61","32","0","2","9","82","0","10","494 days 8:21","K200_CFG"
"2026-05-20","KristalKule","A","KKSAN01A1","10.85.7.61","OK","Brocade G720","9.2.2","64","4","60","4","0","0","0","2","2","0","0","270 days 19:54","GM_61"
"2026-05-20","KristalKule","B","KKSAN02A2","10.85.7.62","OK","Brocade G720","9.2.2","64","4","60","4","0","0","0","2","2","0","0","270 days 19:29","GM_62"