"Lokasyon","Kabinet","FileSystem","Protocol","Virtual (TB)","Size (TB)","Snapshot (TB)"
"Istanbul","FB_UOM","nfstest","NFS/SMB","0","0","0"
"Istanbul","FB_UOM","nfstest2","NFS/SMB","0","0","0"
"Ankara","FB_ANK","vol_cbdrcres01_test_01","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_cbdrcres01_test_02","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_cbdrcres01_test_03","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_cbdrcres01_test_04","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_cbdrcres01_test_05","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_cbdrcres01_test_06","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_cbdrcres01_test_07","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_cbdrcres01_test_08","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_cbdrcres01_test_09","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_cbdrcres01_test_10","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_eddrcgen02_test","NFS/SMB","0.0113","10","0"
"Ankara","FB_ANK","vol_eddrcgen02_test_02","NFS/SMB","0.0113","10","0"
"Ankara","FB_ANK","vol_eddrcgen02_test_03","NFS/SMB","0.0113","10","0"
"Ankara","FB_ANK","vol_eddrcgen02_test_04","NFS/SMB","0.0113","10","0"
"Ankara","FB_ANK","vol_eddrcgen02_test_05","NFS/SMB","0.0113","10","0"
"Ankara","FB_ANK","vol_eddrcgen02_test_06","NFS/SMB","0.0113","10","0"
"Ankara","FB_ANK","vol_eddrcgen02_test_07","NFS/SMB","0.0113","10","0"
"Ankara","FB_ANK","vol_eddrcgen02_test_08","NFS/SMB","0.0113","10","0"
"Ankara","FB_ANK","vol_eddrcgen02_test_09","NFS/SMB","0.0113","10","0"
"Ankara","FB_ANK","vol_eddrcgen02_test_10","NFS/SMB","0.0113","10","0"
"Ankara","FB_ANK","vol_ytsdrces01_test_01","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_ytsdrces01_test_02","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_ytsdrces01_test_03","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_ytsdrces01_test_04","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_ytsdrces01_test_05","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_ytsdrces01_test_06","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_ytsdrces01_test_07","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_ytsdrces01_test_08","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_ytsdrces01_test_09","NFS/SMB","0.0015","10","0"
"Ankara","FB_ANK","vol_ytsdrces01_test_10","NFS/SMB","0.0015","10","0"